epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.03219447284936905,0.05999734252691269,0.030736127868294716,1.031213402748108,0.03219447284936905,0.8823529481887817
0,8,0.035037603229284286,0.0653190165758133,0.03993965685367584,1.0407518148422241,0.035037603229284286,0.8614627122879028,,,,,,
1,17,,,,,,,0.7755926847457886,0.02974027767777443,0.011664560995995998,1.011732816696167,0.022646985948085785,0.20184946060180664
1,17,0.18111440539360046,0.059246234595775604,0.01925553008913994,1.0194642543792725,0.03275471180677414,0.7227455973625183,,,,,,
2,26,,,,,,,0.694640576839447,0.047384634613990784,0.009755931794643402,1.0098036527633667,0.027548860758543015,0.3114165961742401
2,26,0.7890124917030334,0.03560813516378403,0.011856773868203163,1.0119282007217407,0.025309326127171516,0.17156457901000977,,,,,,
3,35,,,,,,,0.5663222670555115,0.055247221142053604,0.009650587104260921,1.0096973180770874,0.03053157404065132,0.46197983622550964
3,35,0.6204865574836731,0.05637609586119652,0.010234301909804344,1.0102869272232056,0.031980037689208984,0.38840577006340027,,,,,,
4,44,,,,,,,0.49509066343307495,0.05696055665612221,0.009278224781155586,1.0093214511871338,0.030972670763731003,0.53797847032547
4,44,0.5542523860931396,0.060112856328487396,0.009896681644022465,1.0099459886550903,0.03324844688177109,0.46215716004371643,,,,,,
5,53,,,,,,,0.48510077595710754,0.05692782625555992,0.009121444076299667,1.0091631412506104,0.030930649489164352,0.548442542552948
5,53,0.48814091086387634,0.06208018586039543,0.009669310413300991,1.009716272354126,0.03372623026371002,0.5372637510299683,,,,,,
6,62,,,,,,,0.5248764157295227,0.05757201462984085,0.009070836007595062,1.0091121196746826,0.03162536397576332,0.5088508725166321
6,62,0.5068910121917725,0.06254959106445312,0.009544108994305134,1.0095899105072021,0.0341164767742157,0.5177366137504578,,,,,,
7,71,,,,,,,0.5491601228713989,0.056127626448869705,0.009062415920197964,1.0091036558151245,0.030895890668034554,0.48151692748069763
7,71,0.5399777889251709,0.0614616759121418,0.009462501853704453,1.009507417678833,0.03378140553832054,0.48303553462028503,,,,,,
8,80,,,,,,,0.5282517671585083,0.05767681449651718,0.008924808353185654,1.0089647769927979,0.031627021729946136,0.5099965333938599
8,80,0.5434414148330688,0.06265131384134293,0.009381229057908058,1.009425401687622,0.03475238010287285,0.4830935001373291,,,,,,
9,89,,,,,,,0.5255482792854309,0.05887195095419884,0.008840246126055717,1.0088794231414795,0.032273367047309875,0.5176563858985901
9,89,0.5234096050262451,0.0642765611410141,0.00930375698953867,1.0093473196029663,0.03530416265130043,0.5132832527160645,,,,,,
