epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,,,,,,,0.965117871761322,0.0023567802272737026,0.5969240069389343,1.816522479057312,0.014874141663312912,0.00127977947704494
0,8,0.715162992477417,,0.06534019857645035,,0.6685207486152649,,1.9517349004745483,,0.03900168091058731,,0.3150651156902313,,,,,,,
1,17,,,,,,,,,,,,,0.9678055047988892,0.0,0.2104635089635849,1.2342500686645508,0.0,0.0
1,17,0.9642959237098694,,0.0004842701309826225,,0.433876633644104,,1.5538113117218018,,0.005923266522586346,,0.00025653824559412897,,,,,,,
2,26,,,,,,,,,,,,,0.9678055047988892,0.0,0.14279387891292572,1.1534920930862427,0.0,0.0
2,26,0.9649624824523926,,0.0,,0.17606061697006226,,1.192846417427063,,0.0,,0.0,,,,,,,
3,35,,,,,,,,,,,,,0.9678055047988892,0.0,0.13217410445213318,1.14130699634552,0.0,0.0
3,35,0.9649624228477478,,0.0,,0.1460006982088089,,1.1572431325912476,,0.0,,0.0,,,,,,,
4,44,,,,,,,,,,,,,0.9678055047988892,0.0,0.12891052663326263,1.137588381767273,0.0,0.0
4,44,0.964962363243103,,0.0,,0.13961052894592285,,1.1498591899871826,,0.0,,0.0,,,,,,,
5,49,,0.963671863079071,,0.0,,0.14150622487068176,,1.1520076990127563,,0.0,,0.0,,,,,,
5,53,,,,,,,,,,,,,0.9678055047988892,0.0,0.12773288786411285,1.1362494230270386,0.0,0.0
5,53,0.9649624228477478,,0.0,,0.1367650330066681,,1.1465785503387451,,0.0,,0.0,,,,,,,
6,62,,,,,,,,,,,,,0.9678055047988892,0.0,0.1271728128194809,1.135613203048706,0.0,0.0
6,62,0.9649624228477478,,0.0,,0.1355312615633011,,1.1451668739318848,,0.0,,0.0,,,,,,,
7,71,,,,,,,,,,,,,0.9678055047988892,0.0,0.12705804407596588,1.135482907295227,0.0,0.0
7,71,0.9649624228477478,,0.0,,0.13487845659255981,,1.144411563873291,,0.0,,0.0,,,,,,,
8,80,,,,,,,,,,,,,0.9678055047988892,0.0,0.1265108734369278,1.1348618268966675,0.0,0.0
8,80,0.964962363243103,,0.0,,0.13439735770225525,,1.1438688039779663,,0.0,,0.0,,,,,,,
9,89,,,,,,,,,,,,,0.9678055047988892,0.0,0.12594865262508392,1.1342239379882812,0.0,0.0
9,89,0.964962363243103,,0.0,,0.1340698003768921,,1.1434870958328247,,0.0,,0.0,,,,,,,
