epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.03219447284936905,0.05999734252691269,0.02816380187869072,1.0285640954971313,0.03219447284936905,0.8823529481887817
0,8,0.035037606954574585,0.06539388746023178,0.03932046890258789,1.0401090383529663,0.035037606954574585,0.8530083298683167,,,,,,
1,17,,,,,,,0.8127472400665283,0.03213970735669136,0.011469637975096703,1.01153564453125,0.023498719558119774,0.16558685898780823
1,17,0.24100174009799957,0.05659737437963486,0.01703258976340294,1.0171946287155151,0.03177431598305702,0.657440185546875,,,,,,
2,26,,,,,,,0.6754658818244934,0.0486890971660614,0.00966880563646555,1.0097156763076782,0.028185252100229263,0.3386315703392029
2,26,0.789402186870575,0.03770968317985535,0.011682802811264992,1.0117523670196533,0.025946123525500298,0.18211229145526886,,,,,,
3,35,,,,,,,0.556414783000946,0.05523204058408737,0.0096169738098979,1.0096633434295654,0.03035898320376873,0.47248467803001404
3,35,0.6233731508255005,0.05618397518992424,0.01021391898393631,1.0102663040161133,0.032227493822574615,0.38740846514701843,,,,,,
4,44,,,,,,,0.4826730489730835,0.05710434913635254,0.009277650155127048,1.009320855140686,0.031198887154459953,0.5494667291641235
4,44,0.5211708545684814,0.06092725694179535,0.009811588563024998,1.0098600387573242,0.033293716609478,0.4987400770187378,,,,,,
5,53,,,,,,,0.5196183919906616,0.05711160972714424,0.009133372455835342,1.009175181388855,0.03141080588102341,0.512615442276001
5,53,0.5017847418785095,0.06255989521741867,0.00963163748383522,1.0096783638000488,0.03413889929652214,0.5240060687065125,,,,,,
6,62,,,,,,,0.547096848487854,0.05653802677989006,0.008993535302579403,1.0090341567993164,0.030847903341054916,0.4874933063983917
6,62,0.5348936319351196,0.06296130269765854,0.009502226486802101,1.009547472000122,0.034545306116342545,0.49327197670936584,,,,,,
7,71,,,,,,,0.5519903898239136,0.056473664939403534,0.00892539694905281,1.0089653730392456,0.030818834900856018,0.4846999943256378
7,71,0.5509732365608215,0.06198589503765106,0.009399131871759892,1.0094436407089233,0.03411145880818367,0.47874876856803894,,,,,,
8,80,,,,,,,0.5357632040977478,0.05750473961234093,0.008838750422000885,1.0088778734207153,0.0313912071287632,0.5079226493835449
8,80,0.5466174483299255,0.06293312460184097,0.009298169985413551,1.0093415975570679,0.034534309059381485,0.48964107036590576,,,,,,
9,89,,,,,,,0.5336428880691528,0.05775265768170357,0.008770590648055077,1.008809208869934,0.03169868886470795,0.5134811997413635
9,89,0.5304151177406311,0.06276650726795197,0.009216987527906895,1.0092597007751465,0.03410648554563522,0.508898138999939,,,,,,
