epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.03219447284936905,0.05999734252691269,0.7233630418777466,2.061353921890259,0.03219447284936905,0.8823529481887817
0,8,0.035037603229284286,0.0653190165758133,0.7935187220573425,2.21146821975708,0.035037603229284286,0.8614627122879028,,,,,,
1,17,,,,,,,0.3039902448654175,0.05840545520186424,0.4802852272987366,1.6165354251861572,0.0315098874270916,0.6954084038734436
1,17,0.05453583225607872,0.06533851474523544,0.6258172392845154,1.8743647336959839,0.03503166511654854,0.8541728854179382,,,,,,
2,26,,,,,,,0.5644808411598206,0.05523323267698288,0.44149839878082275,1.5550355911254883,0.03045680932700634,0.46255597472190857
2,26,0.4624594748020172,0.06072493642568588,0.4853702783584595,1.6256427764892578,0.03334970027208328,0.5278737545013428,,,,,,
3,35,,,,,,,0.5566810369491577,0.055513788014650345,0.4366006851196289,1.5474380254745483,0.030487095937132835,0.4730612635612488
3,35,0.5660426020622253,0.059643350541591644,0.4627327024936676,1.5887187719345093,0.03320226073265076,0.4540036916732788,,,,,,
4,44,,,,,,,0.4813418984413147,0.057313211262226105,0.436261385679245,1.5469130277633667,0.031212057918310165,0.5540210008621216
4,44,0.5142990946769714,0.061589643359184265,0.45713767409324646,1.580001950263977,0.03378671407699585,0.5100526809692383,,,,,,
5,53,,,,,,,0.4593496322631836,0.05777378007769585,0.43164294958114624,1.5397852659225464,0.03139953315258026,0.5772830843925476
5,53,0.47251805663108826,0.062277521938085556,0.454162061214447,1.5751307010650635,0.03381786867976189,0.5539441704750061,,,,,,
6,62,,,,,,,0.47658467292785645,0.05807992443442345,0.4298837184906006,1.5370787382125854,0.03151113912463188,0.5635585188865662
6,62,0.466531902551651,0.062830850481987,0.4522126019001007,1.572057843208313,0.03412274271249771,0.5629193186759949,,,,,,
7,71,,,,,,,0.48075875639915466,0.057595737278461456,0.43101000785827637,1.5388109683990479,0.031230445951223373,0.5583697557449341
7,71,0.4840957522392273,0.06283054500818253,0.4496147334575653,1.5678458213806152,0.03441101312637329,0.5451288223266602,,,,,,
8,80,,,,,,,0.47569409012794495,0.05774153023958206,0.4260360598564148,1.531175971031189,0.03126900643110275,0.5663051605224609
8,80,0.47845458984375,0.06288974732160568,0.44617918133735657,1.5625640153884888,0.03419964388012886,0.5539067387580872,,,,,,
9,89,,,,,,,0.47502535581588745,0.05777500569820404,0.42124608159065247,1.5238592624664307,0.03133140504360199,0.5656311511993408
9,89,0.47795695066452026,0.063093401491642,0.442760169506073,1.5571776628494263,0.03433840349316597,0.555809736251831,,,,,,
