epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,,,,,,,0.9678055047988892,0.0,0.13143983483314514,1.1404693126678467,0.0,0.0
0,8,0.9008191227912903,,0.010472135618329048,,0.3010998070240021,,1.3847944736480713,,0.010431035421788692,,0.058237940073013306,,,,,,,
1,17,,,,,,,,,,,,,0.9678055047988892,0.0,0.12641754746437073,1.1347558498382568,0.0,0.0
1,17,0.964962363243103,,0.0,,0.13744477927684784,,1.1473498344421387,,0.0,,0.0,,,,,,,
2,26,,,,,,,,,,,,,0.9678055047988892,0.0,0.12691806256771088,1.1353240013122559,0.0,0.0
2,26,0.9649624228477478,,0.0,,0.1336449384689331,,1.1430004835128784,,0.0,,0.0,,,,,,,
3,35,,,,,,,,,,,,,0.9678055047988892,0.0,0.12385235726833344,1.131848692893982,0.0,0.0
3,35,0.9649624824523926,,0.0,,0.13151498138904572,,1.140577793121338,,0.0,,0.0,,,,,,,
4,44,,,,,,,,,,,,,0.9678055047988892,0.0,0.12302053719758987,1.130907654762268,0.0,0.0
4,44,0.9649624228477478,,0.0,,0.13010244071483612,,1.1389864683151245,,0.0,,0.0,,,,,,,
5,49,,0.9656680822372437,,0.0,,0.12870170176029205,,1.1373507976531982,,0.0,,0.0,,,,,,
5,53,,,,,,,,,,,,,0.9678055047988892,0.0,0.12155091017484665,1.1292468309402466,0.0,0.0
5,53,0.9649624824523926,,0.0,,0.12914270162582397,,1.1378724575042725,,0.0,,0.0,,,,,,,
6,62,,,,,,,,,,,,,0.9678055047988892,0.0,0.12034211307764053,1.1278825998306274,0.0,0.0
6,62,0.9649624228477478,,0.0,,0.12833961844444275,,1.1369960308074951,,0.0,,0.0,,,,,,,
7,71,,,,,,,,,,,,,0.9678055047988892,0.0,0.11966381967067719,1.1271178722381592,0.0,0.0
7,71,0.9649624228477478,,0.0,,0.12774938344955444,,1.1362860202789307,,0.0,,0.0,,,,,,,
8,80,,,,,,,,,,,,,0.9678055047988892,0.0,0.11897491663694382,1.126341700553894,0.0,0.0
8,80,0.9649624228477478,,0.0,,0.1271638125181198,,1.1356329917907715,,0.0,,0.0,,,,,,,
9,89,,,,,,,,,,,,,0.9678055047988892,0.0,0.11959964036941528,1.1270455121994019,0.0,0.0
9,89,0.964962363243103,,0.0,,0.12692467868328094,,1.1353447437286377,,0.0,,0.0,,,,,,,
