epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,,,,,,,0.9622464776039124,0.011124024167656898,0.5744738578796387,1.776195764541626,0.03548728674650192,0.006595786660909653
0,8,0.7371718883514404,,0.06710551679134369,,0.6638001799583435,,1.9426953792572021,,0.04356857016682625,,0.2569509446620941,,,,,,,
1,17,,,,,,,,,,,,,0.9677706360816956,0.0,0.1983775794506073,1.219422698020935,0.0,0.0
1,17,0.9640086889266968,,0.0010775646660476923,,0.3968600928783417,,1.4970256090164185,,0.01297333836555481,,0.0005798720521852374,,,,,,,
2,26,,,,,,,,,,,,,0.9678055047988892,0.0,0.14183470606803894,1.15238618850708,0.0,0.0
2,26,0.9649592041969299,,0.0,,0.17220336198806763,,1.1881588697433472,,0.0,,0.0,,,,,,,
3,35,,,,,,,,,,,,,0.9678055047988892,0.0,0.1323564201593399,1.1415151357650757,0.0,0.0
3,35,0.964962363243103,,0.0,,0.14544588327407837,,1.1565788984298706,,0.0,,0.0,,,,,,,
4,44,,,,,,,,,,,,,0.9678055047988892,0.0,0.12912629544734955,1.137833833694458,0.0,0.0
4,44,0.9649624824523926,,0.0,,0.13941556215286255,,1.1496151685714722,,0.0,,0.0,,,,,,,
5,49,,0.9625402092933655,,0.0,,0.1442807912826538,,1.1552084684371948,,0.0,,0.0,,,,,,
5,53,,,,,,,,,,,,,0.9678055047988892,0.0,0.12809336185455322,1.1366591453552246,0.0,0.0
5,53,0.9649624824523926,,0.0,,0.1369778960943222,,1.1468315124511719,,0.0,,0.0,,,,,,,
6,62,,,,,,,,,,,,,0.9678055047988892,0.0,0.1271340698003769,1.1355692148208618,0.0,0.0
6,62,0.964962363243103,,0.0,,0.1356157511472702,,1.1452668905258179,,0.0,,0.0,,,,,,,
7,71,,,,,,,,,,,,,0.9678055047988892,0.0,0.12653563916683197,1.134889841079712,0.0,0.0
7,71,0.964962363243103,,0.0,,0.13491511344909668,,1.1444729566574097,,0.0,,0.0,,,,,,,
8,80,,,,,,,,,,,,,0.9678055047988892,0.0,0.12617716193199158,1.1344830989837646,0.0,0.0
8,80,0.9649624824523926,,0.0,,0.13444150984287262,,1.1439241170883179,,0.0,,0.0,,,,,,,
9,89,,,,,,,,,,,,,0.9678055047988892,0.0,0.126041978597641,1.1343297958374023,0.0,0.0
9,89,0.9649624228477478,,0.0,,0.1341238021850586,,1.1435546875,,0.0,,0.0,,,,,,,
