epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.5272439122200012,0.0565100833773613,0.009734989143908024,1.0097825527191162,0.031026439741253853,0.5023699998855591
0,8,0.4016142189502716,0.05931434407830238,0.017683442682027817,1.0179214477539062,0.03292957693338394,0.5715254545211792,,,,,,
1,17,,,,,,,0.5690130591392517,0.055582452565431595,0.008883482776582241,1.008923053741455,0.03093669004738331,0.46894901990890503
1,17,0.545610249042511,0.06205951049923897,0.009584054350852966,1.0096303224563599,0.03442610055208206,0.48204171657562256,,,,,,
2,26,,,,,,,0.5794751644134521,0.06600058823823929,0.0085358377546072,1.0085723400115967,0.037036601454019547,0.5038683414459229
2,26,0.5575119256973267,0.0655757263302803,0.009114518761634827,1.009156346321106,0.03700169920921326,0.4895620048046112,,,,,,
3,35,,,,,,,0.6742361783981323,0.08687593042850494,0.008219405077397823,1.0082533359527588,0.05137326568365097,0.4594249129295349
3,35,0.5869558453559875,0.07402590662240982,0.008411145769059658,1.0084468126296997,0.041513726115226746,0.5095161199569702,,,,,,
4,44,,,,,,,0.7093052864074707,0.10522539913654327,0.0072213695384562016,1.0072474479675293,0.06126108020544052,0.5256479978561401
4,44,0.6611926555633545,0.095217764377594,0.007865970954298973,1.0078970193862915,0.05519942194223404,0.5106142163276672,,,,,,
5,53,,,,,,,0.7557967901229858,0.11273755133152008,0.006929275579750538,1.0069533586502075,0.0657196119427681,0.5151683688163757
5,53,0.6965436935424805,0.10790522396564484,0.007203226909041405,1.0072293281555176,0.0618450753390789,0.5580553412437439,,,,,,
6,62,,,,,,,0.743857741355896,0.1186482384800911,0.006570952944457531,1.0065926313400269,0.07169093191623688,0.5630843639373779
6,62,0.7366923689842224,0.12004493921995163,0.006732127163559198,1.006754994392395,0.06967435032129288,0.5603872537612915,,,,,,
7,71,,,,,,,0.7667659521102905,0.13088957965373993,0.006195548921823502,1.0062147378921509,0.077226921916008,0.5780683755874634
7,71,0.7485748529434204,0.13308261334896088,0.006430308800190687,1.00645112991333,0.07873733341693878,0.5872267484664917,,,,,,
8,80,,,,,,,0.7689401507377625,0.14635254442691803,0.0059868027456104755,1.006004810333252,0.0877356305718422,0.5891857147216797
8,80,0.7725163698196411,0.1452942043542862,0.006026036571711302,1.0060442686080933,0.08651658147573471,0.6040082573890686,,,,,,
9,89,,,,,,,0.8142843842506409,0.1571984887123108,0.005570468492805958,1.00558602809906,0.0954209640622139,0.5875728130340576
9,89,0.7848607897758484,0.15599428117275238,0.005869477521628141,1.0058866739273071,0.09396348893642426,0.6152483820915222,,,,,,
10,98,,,,,,,0.8144016265869141,0.15715593099594116,0.005343996919691563,1.005358338356018,0.10485350340604782,0.5990773439407349
10,98,0.8050286173820496,0.16551704704761505,0.005483425222337246,1.0054985284805298,0.09903974831104279,0.6297298669815063,,,,,,
11,107,,,,,,,0.8229461908340454,0.17230860888957977,0.005358903203159571,1.005373239517212,0.10618114471435547,0.627941370010376
11,107,0.8166067004203796,0.17621469497680664,0.005317785311490297,1.0053318738937378,0.10935839265584946,0.6360499262809753,,,,,,
12,116,,,,,,,0.8281598687171936,0.17860297858715057,0.005070652812719345,1.0050835609436035,0.10897795110940933,0.6679856777191162
