epoch,step,train_acc,train_f1,train_loss,train_perplexity,train_precision,train_recall,val_acc,val_f1,val_loss,val_perplexity,val_precision,val_recall
0,8,,,,,,,0.03219447284936905,0.05999734252691269,0.031528860330581665,1.0320311784744263,0.03219447284936905,0.8823529481887817
0,8,0.035037603229284286,0.06530647724866867,0.04049792140722275,1.0413328409194946,0.035037603229284286,0.8590472340583801,,,,,,
1,17,,,,,,,0.7570644617080688,0.03206585720181465,0.011943075805902481,1.012014627456665,0.02286357432603836,0.21993006765842438
1,17,0.16185766458511353,0.05981647968292236,0.019791999831795692,1.0200124979019165,0.03281562775373459,0.7330427765846252,,,,,,
2,26,,,,,,,0.675114095211029,0.048984743654727936,0.009741067886352539,1.0097886323928833,0.028284789994359016,0.3412225544452667
2,26,0.7884544134140015,0.03413010016083717,0.012053227052092552,1.0121264457702637,0.02432275377213955,0.1734868437051773,,,,,,
3,35,,,,,,,0.576004683971405,0.055203620344400406,0.00963507778942585,1.0096817016601562,0.0305087398737669,0.4514952600002289
3,35,0.6294578313827515,0.056005362421274185,0.010204180143773556,1.0102564096450806,0.032046206295490265,0.38224929571151733,,,,,,
4,44,,,,,,,0.4941112995147705,0.057375069707632065,0.009222188964486122,1.0092648267745972,0.031284648925065994,0.5408115386962891
4,44,0.5470525622367859,0.05995997413992882,0.009887770749628544,1.009937047958374,0.03310782462358475,0.4701725244522095,,,,,,
5,53,,,,,,,0.5023263096809387,0.05777784809470177,0.009064299054443836,1.0091055631637573,0.03154437243938446,0.5347615480422974
5,53,0.4976068139076233,0.061771638691425323,0.009617150761187077,1.0096635818481445,0.03366860747337341,0.5257430672645569,,,,,,
6,62,,,,,,,0.541293740272522,0.05678536742925644,0.009017270058393478,1.0090579986572266,0.03095596469938755,0.4945862889289856
6,62,0.5204998850822449,0.062281981110572815,0.009498071856796741,1.0095431804656982,0.03395228087902069,0.5041919946670532,,,,,,
7,71,,,,,,,0.548380434513092,0.05624053254723549,0.008941177278757095,1.0089812278747559,0.030806368216872215,0.48656323552131653
7,71,0.5473687648773193,0.06172806769609451,0.009405496530234814,1.0094499588012695,0.034027013927698135,0.47745954990386963,,,,,,
8,80,,,,,,,0.5378676652908325,0.058000825345516205,0.008826061151921749,1.0088651180267334,0.031741224229335785,0.5059124231338501
8,80,0.5418597459793091,0.06210900843143463,0.009325087070465088,1.0093687772750854,0.034279804676771164,0.4828670620918274,,,,,,
9,89,,,,,,,0.5531630516052246,0.05835467204451561,0.008761999197304249,1.0088005065917969,0.03185321390628815,0.49511033296585083
9,89,0.5452789664268494,0.06354127824306488,0.009246069937944412,1.009289026260376,0.03496044874191284,0.4889013469219208,,,,,,
10,98,,,,,,,0.5511219501495361,0.05891665071249008,0.008680502884089947,1.0087182521820068,0.032150574028491974,0.5023349523544312
10,98,0.5576412677764893,0.06438769400119781,0.009155442006886005,1.0091973543167114,0.035588331520557404,0.48254311084747314,,,,,,
11,107,,,,,,,0.548212468624115,0.058988384902477264,0.008596902713179588,1.0086339712142944,0.03220671787858009,0.5129159092903137
11,107,0.5427606105804443,0.06689126789569855,0.009080203250050545,1.0091217756271362,0.037026166915893555,0.5121994614601135,,,,,,
12,116,,,,,,,0.5764706134796143,0.05889035761356354,0.008580898866057396,1.008617877960205,0.032200563699007034,0.4879554510116577
12,116,0.5619921684265137,0.0672202780842781,0.008965783752501011,1.0090062618255615,0.036978550255298615,0.5042676329612732,,,,,,
13,125,,,,,,,0.5739002227783203,0.061327457427978516,0.008393882773816586,1.0084291696548462,0.033561889082193375,0.5026106238365173
13,125,0.5752131938934326,0.06866854429244995,0.008844505064189434,1.0088838338851929,0.037754688411951065,0.4986839294433594,,,,,,
14,134,,,,,,,0.5910433530807495,0.06513187289237976,0.008263995870947838,1.0082982778549194,0.03614548593759537,0.513032078742981
14,134,0.5669816732406616,0.07216047495603561,0.008701569400727749,1.0087395906448364,0.03971876949071884,0.5246092081069946,,,,,,
15,143,,,,,,,0.6076825261116028,0.06824931502342224,0.00807819701731205,1.0081108808517456,0.03715253248810768,0.516620934009552
15,143,0.5894238948822021,0.0759786069393158,0.00850807037204504,1.0085444450378418,0.04214642569422722,0.5222253203392029,,,,,,
16,152,,,,,,,0.6316810250282288,0.07145213335752487,0.007869310677051544,1.007900357246399,0.039053887128829956,0.5217785239219666
16,152,0.6075167655944824,0.0790492594242096,0.008282597176730633,1.008316993713379,0.04394920542836189,0.5210562944412231,,,,,,
17,161,,,,,,,0.6516861319541931,0.08239820599555969,0.007650173269212246,1.0076794624328613,0.04651791602373123,0.5329661965370178
17,161,0.6248123049736023,0.08627816289663315,0.00805723201483488,1.0080897808074951,0.04849423095583916,0.536204993724823,,,,,,
18,170,,,,,,,0.6757099628448486,0.08678793162107468,0.007453582715243101,1.0074814558029175,0.04909161850810051,0.5395658612251282
18,170,0.6474307179450989,0.09271185100078583,0.007805075496435165,1.0078357458114624,0.05275699123740196,0.5413303375244141,,,,,,
19,179,,,,,,,0.6867868900299072,0.09058619290590286,0.0071799661964178085,1.007205843925476,0.05118849501013756,0.5422198176383972
19,179,0.6691246628761292,0.09757252037525177,0.007543973624706268,1.0075725317001343,0.05503300204873085,0.5496063232421875,,,,,,
20,188,,,,,,,0.715624988079071,0.10126398503780365,0.006958361249417067,1.006982684135437,0.05766364932060242,0.5614274144172668
20,188,0.687113881111145,0.10287048667669296,0.0072805373929440975,1.0073072910308838,0.058415912091732025,0.5573329925537109,,,,,,
21,197,,,,,,,0.7290948033332825,0.10754846781492233,0.006740976125001907,1.0067636966705322,0.06080009788274765,0.5839038491249084
21,197,0.7038689851760864,0.11005935817956924,0.007047503720968962,1.0070724487304688,0.062284115701913834,0.5720870494842529,,,,,,
22,206,,,,,,,0.7424473762512207,0.10876276344060898,0.006552343722432852,1.0065739154815674,0.061889663338661194,0.5735816359519958
22,206,0.7261138558387756,0.11632776260375977,0.006815244909375906,1.0068385601043701,0.0663631483912468,0.579045295715332,,,,,,
23,215,,,,,,,0.7542564868927002,0.11669649183750153,0.006374047603458166,1.006394386291504,0.06700003892183304,0.592374861240387
23,215,0.7392487525939941,0.12065596878528595,0.006601247005164623,1.0066230297088623,0.0688876360654831,0.5818168520927429,,,,,,
24,224,,,,,,,0.7741347551345825,0.12481404840946198,0.006207016296684742,1.0062263011932373,0.07261698693037033,0.5948082208633423
24,224,0.74920254945755,0.12669521570205688,0.0064148190431296825,1.0064353942871094,0.07259021699428558,0.5939281582832336,,,,,,
25,233,,,,,,,0.7794656157493591,0.12833823263645172,0.006074343807995319,1.0060927867889404,0.07541277259588242,0.6037455797195435
25,233,0.7633209824562073,0.1315108835697174,0.006248032674193382,1.0062675476074219,0.07598256319761276,0.5985671877861023,,,,,,
26,242,,,,,,,0.7874904870986938,0.13165698945522308,0.005927091930061579,1.0059447288513184,0.07715973258018494,0.5981267094612122
26,242,0.77745121717453,0.14073871076107025,0.006099096965044737,1.006117820739746,0.08387959003448486,0.5990400910377502,,,,,,
27,251,,,,,,,0.7891955971717834,0.13479198515415192,0.005785016342997551,1.005801796913147,0.08650123327970505,0.612128496170044
27,251,0.7785335779190063,0.14643417298793793,0.0059424820356070995,1.00596022605896,0.08932159096002579,0.623227596282959,,,,,,
28,260,,,,,,,0.8019998669624329,0.14869621396064758,0.005646492820233107,1.005662441253662,0.09167761355638504,0.6301625967025757
28,260,0.7890692353248596,0.15361632406711578,0.005787390749901533,1.005804181098938,0.0933675765991211,0.6259074807167053,,,,,,
29,269,,,,,,,0.8061676025390625,0.1508554220199585,0.00550149055197835,1.0055166482925415,0.0896659567952156,0.6351862549781799
29,269,0.7935484051704407,0.15602941811084747,0.00564127741381526,1.0056571960449219,0.0925920307636261,0.6314470171928406,,,,,,
30,278,,,,,,,0.8119579553604126,0.15701967477798462,0.005358844995498657,1.005373239517212,0.09371893107891083,0.6407613158226013
30,278,0.8015586733818054,0.16310319304466248,0.005489016883075237,1.0055041313171387,0.09680921584367752,0.6424283981323242,,,,,,
31,287,,,,,,,0.8193807005882263,0.15965156257152557,0.005232098512351513,1.0052458047866821,0.09482698142528534,0.6411309838294983
31,287,0.8126981258392334,0.1716889888048172,0.005338378716260195,1.0053526163101196,0.10224036127328873,0.6419597864151001,,,,,,
32,296,,,,,,,0.831820547580719,0.16827328503131866,0.0051033166237175465,1.00511634349823,0.10021408647298813,0.64324551820755
32,296,0.8132059574127197,0.17016853392124176,0.005196600686758757,1.0052101612091064,0.10096006095409393,0.6583251953125,,,,,,
33,305,,,,,,,0.8307555913925171,0.16776397824287415,0.0049620806239545345,1.004974365234375,0.09809236228466034,0.6570273637771606
33,305,0.8245006203651428,0.179199680685997,0.005064111202955246,1.0050768852233887,0.1064552292227745,0.6580225825309753,,,,,,
34,314,,,,,,,0.8359565138816833,0.1734701246023178,0.004839878994971514,1.0048515796661377,0.10269913077354431,0.65265291929245
34,314,0.830327033996582,0.18438227474689484,0.004929331596940756,1.0049415826797485,0.11130824685096741,0.6638166308403015,,,,,,
35,323,,,,,,,0.843474268913269,0.17800213396549225,0.004714748356491327,1.0047259330749512,0.1051391214132309,0.6584407091140747
35,323,0.8343089818954468,0.18986260890960693,0.004804200027137995,1.004815697669983,0.11647678166627884,0.6660032272338867,,,,,,
36,332,,,,,,,0.8432777523994446,0.17966705560684204,0.00458177737891674,1.0045922994613647,0.10644693672657013,0.6612924933433533
36,332,0.8388842940330505,0.19364334642887115,0.004680301528424025,1.004691243171692,0.12048539519309998,0.6725744605064392,,,,,,
37,341,,,,,,,0.8479081988334656,0.18323053419589996,0.004447815008461475,1.004457712173462,0.1083034873008728,0.6703730821609497
37,341,0.845539391040802,0.20068037509918213,0.004555428400635719,1.0045658349990845,0.12257350236177444,0.6759527325630188,,,,,,
38,350,,,,,,,0.8580154180526733,0.19328507781028748,0.004322413355112076,1.0043318271636963,0.1150265634059906,0.669975996017456
38,350,0.8476291298866272,0.20377710461616516,0.004431340843439102,1.0044411420822144,0.1281629204750061,0.6797934174537659,,,,,,
39,359,,,,,,,0.8608677983283997,0.19652505218982697,0.004189979750663042,1.0041987895965576,0.11734422296285629,0.6767255663871765
39,359,0.852939784526825,0.2075197845697403,0.004306209273636341,1.0043154954910278,0.1282951384782791,0.6785017251968384,,,,,,
40,368,,,,,,,0.8625919222831726,0.2000093311071396,0.0040708486922085285,1.0040791034698486,0.13043120503425598,0.6775739789009094
40,368,0.8573235273361206,0.21356840431690216,0.004192198161035776,1.0042009353637695,0.13255824148654938,0.6866981387138367,,,,,,
41,377,,,,,,,0.865349292755127,0.21189464628696442,0.0039596837013959885,1.003967523574829,0.15158472955226898,0.6922034621238708
41,377,0.8629874587059021,0.22144831717014313,0.0040795826353132725,1.0040879249572754,0.13997212052345276,0.6898928880691528,,,,,,
42,386,,,,,,,0.8682429194450378,0.21609532833099365,0.0038523676339536905,1.0038597583770752,0.15245483815670013,0.6943372488021851
42,386,0.8653038740158081,0.22153247892856598,0.003971006255596876,1.003978967666626,0.1381664276123047,0.6980788111686707,,,,,,
43,395,,,,,,,0.873488187789917,0.22811391949653625,0.003748656716197729,1.0037556886672974,0.15695823729038239,0.7052983045578003
43,395,0.8700112700462341,0.22766521573066711,0.0038648820482194424,1.0038723945617676,0.1426120400428772,0.6998903751373291,,,,,,
44,404,,,,,,,0.8799442052841187,0.24189606308937073,0.0036408654414117336,1.0036474466323853,0.17294755578041077,0.7070205807685852
44,404,0.8728172183036804,0.23523610830307007,0.003762295702472329,1.0037693977355957,0.15056805312633514,0.7094534635543823,,,,,,
45,413,,,,,,,0.8785021305084229,0.2404336929321289,0.0035399585030972958,1.0035462379455566,0.1675092577934265,0.7203946709632874
45,413,0.8756514191627502,0.23658940196037292,0.0036643724888563156,1.0036711692810059,0.14909085631370544,0.7087121605873108,,,,,,
46,422,,,,,,,0.884489119052887,0.2510315179824829,0.00344502879306674,1.0034509897232056,0.18194302916526794,0.7246832847595215
46,422,0.8794435858726501,0.24295447766780853,0.0035731967072933912,1.0035796165466309,0.1556222140789032,0.711807370185852,,,,,,
47,431,,,,,,,0.8851958513259888,0.2543283700942993,0.0033601531758904457,1.0033657550811768,0.1865098625421524,0.7242062091827393
47,431,0.8813261985778809,0.24707269668579102,0.003484032116830349,1.0034900903701782,0.15970729291439056,0.7121398448944092,,,,,,
48,440,,,,,,,0.8881402015686035,0.25730884075164795,0.0032780275214463472,1.0032833814620972,0.1857677698135376,0.7294445037841797
48,440,0.8859511613845825,0.2555510997772217,0.003403586335480213,1.003409504890442,0.16571016609668732,0.7189328074455261,,,,,,
49,449,,,,,,,0.8910845518112183,0.2627626359462738,0.003205088898539543,1.003210186958313,0.19023491442203522,0.7322874665260315
49,449,0.8866227865219116,0.2549751400947571,0.003319801762700081,1.0033252239227295,0.16688254475593567,0.7180077433586121,,,,,,
50,458,,,,,,,0.8941177129745483,0.26732370257377625,0.0031265062279999256,1.00313138961792,0.186783567070961,0.7340676784515381
50,458,0.8901161551475525,0.2659950256347656,0.003245566738769412,1.0032508373260498,0.17633940279483795,0.7271726131439209,,,,,,
51,467,,,,,,,0.8982853889465332,0.27431461215019226,0.0030578351579606533,1.0030624866485596,0.19088660180568695,0.7370923161506653
51,467,0.8930605053901672,0.2698863446712494,0.003168653231114149,1.0031737089157104,0.1752568483352661,0.7321817874908447,,,,,,
52,476,,,,,,,0.8981078863143921,0.27450141310691833,0.0029905769042670727,1.0029950141906738,0.19338195025920868,0.7390453815460205
52,476,0.8947634696960449,0.2730255126953125,0.0031001176685094833,1.0031049251556396,0.17971400916576385,0.7301040887832642,,,,,,
53,485,,,,,,,0.8994706869125366,0.27601319551467896,0.0029180035926401615,1.0029222965240479,0.1898166984319687,0.743332028388977
53,485,0.8966554999351501,0.2797010838985443,0.003033805638551712,1.0030384063720703,0.18752224743366241,0.7317000031471252,,,,,,
54,494,,,,,,,0.9007638096809387,0.274279922246933,0.0028604515828192234,1.0028645992279053,0.19150310754776,0.7424968481063843
54,494,0.8985286951065063,0.28345128893852234,0.00296431640163064,1.002968668937683,0.19026842713356018,0.7408192753791809,,,,,,
55,503,,,,,,,0.9004596471786499,0.2763892412185669,0.002795894630253315,1.0027997493743896,0.19746741652488708,0.7453835606575012
55,503,0.8999688625335693,0.2829892337322235,0.0029000595677644014,1.0029042959213257,0.18925997614860535,0.739121675491333,,,,,,
56,512,,,,,,,0.9049758911132812,0.2831266224384308,0.0027284380048513412,1.0027321577072144,0.1999967247247696,0.7508900165557861
56,512,0.9022519588470459,0.2931610345840454,0.0028332907240837812,1.0028373003005981,0.19615907967090607,0.7496575117111206,,,,,,
57,521,,,,,,,0.9062182903289795,0.29254254698753357,0.0026648775674402714,1.0026683807373047,0.20618154108524323,0.7599159479141235
57,521,0.9050215482711792,0.29380038380622864,0.00277510704472661,1.0027790069580078,0.19599659740924835,0.7500699162483215,,,,,,
58,530,,,,,,,0.9104620814323425,0.30597662925720215,0.0026105730794370174,1.0026140213012695,0.21300086379051208,0.7636856436729431
58,530,0.904861569404602,0.2952536344528198,0.0027118397410959005,1.0027154684066772,0.19560959935188293,0.7510256767272949,,,,,,
59,539,,,,,,,0.9126489758491516,0.3130955398082733,0.0025499968323856592,1.0025532245635986,0.2179972231388092,0.7754775881767273
59,539,0.9076433777809143,0.3039105534553528,0.0026523324195295572,1.0026559829711914,0.2009686976671219,0.7641711235046387,,,,,,
60,548,,,,,,,0.9126648306846619,0.31050655245780945,0.0024960709270089865,1.0024992227554321,0.21534693241119385,0.7797338366508484
60,548,0.9096345901489258,0.3088100850582123,0.0025931226555258036,1.0025964975357056,0.20598149299621582,0.7611579298973083,,,,,,
